国家,学校分类,排名,成立年份,州省,title,学生人数,性质,城市,网址,rank,宗教信仰
日本,综合性大学,,1877*(1),,东京大学 ,"27,847(2015年)*(2)",公立（国立），男女合校,东京,http://www.u-tokyo.ac.jp/en/index.html,50,无
新加坡,综合性大学,,1955年,,南洋理工大学 ,"28,949",公立，男女合校,,www.ntu.edu.sg,49,无
美国,全国性大学,46*(2),1905年（1959年正式成为加州大学系统的一员）*(1),加利福尼亚州,加州大学戴维斯分校 ,"36,104*(3)",公立，男女合校,戴维斯,www.ucdavis.edu,48,无
美国,本科：13%*(5)本科+研究生：23.8%*(6),21*(2),私立，男女合校,加利福尼亚州,南加州大学 ,1.25Km2 城区*(3),让有功者受禄,洛杉矶,西部学校及学院协会（WACS）,53,1880*(3)
美国,1:18*(3),52*(2),1867*(1),伊利诺伊州,伊利诺伊大学厄本那-香槟分校 ,,公立，男女合校,厄本那-香槟,美国大学协会（AAU）公立常春藤（Public Ivy）伊利诺伊大学系统十大联盟（Big Ten）,47,无
加拿大,医博类大学,医博类第1,1821年,魁北克,麦吉尔大学 ,"34,819",公立，男女合校,蒙特利尔,www.mcgill.ca,45,无
英国,综合性大学,QS世界：8(30)；Times国内：26,2004年（最早可追溯至1824年）*(1),英格兰,曼彻斯特大学 ,"37,925（含全日制与非全日制）*(3)",公立，男女合校,曼彻斯特,www.manchester.ac.uk,52,无
美国,全国性大学,81*(2),1965*(1),加利福尼亚州,加州大学圣克鲁兹分校 ,"17,868",公立，男女合校,圣克鲁兹,www.ucsc.edu,43,无
美国,1:16*(5),61*(2),1856年*(1),马里兰州,马里兰大学学院公园分校 ,,公立，男女合校,学院公园,美国大学协会（AAU）公立常春藤（Public Ivy）马里兰大学系统*(1),46,无
美国,全国性大学,68*(2),1787*(1),宾夕法尼亚州,匹兹堡大学 ,"25,464（不含Part-time），28,650（含Part-time）*(4)",公立，男女合校,匹兹堡另有本科学院设在布兰德福德、格林斯堡、约翰斯敦和泰特斯维尔,www.pitt.edu,44,无
新加坡,综合性大学,,1905年,,新加坡国立大学 ,"37,426",公立，男女合校,,www.nus.edu.sg,39,无
