剑桥,"4,527*(7)","6,804*(7)",www.mit.edu,2,马萨诸塞州,麻省理工学院 ,美国
website,state,rank,city,name,postgraduate_num,country,undergraduate_num
www.harvard.edu,马萨诸塞州,1,剑桥（马萨诸塞州）,哈佛大学 ,"≈14,500*(3)",美国,"≈6,700*(3)"
www.berkeley.edu,加利福尼亚州,4,伯克利,加州大学伯克利分校 ,"10,708*(5)",美国,"27,496 *(5)"
www.stanford.edu,加利福尼亚州,3,斯坦福,斯坦福大学 ,"9,771*(3)",美国,"6,999*(3)"
www.mit.edu,马萨诸塞州,2,剑桥,麻省理工学院 ,"6,804*(7)",美国,"4,527*(7)"
country,website,state,undergraduate_num,city,name,postgraduate_num,rank
美国,www.harvard.edu,马萨诸塞州,"≈6,700*(3)",剑桥（马萨诸塞州）,哈佛大学 ,"≈14,500*(3)",1
澳大利亚,www.sydney.edu.au,新南威尔士州,"33,219*(3)",悉尼,悉尼大学 ,"18,175*(3)",34
美国,中北部学院及学校协会（NCACS）*(4),密苏里州,"6,841（不含Part-time）*(3)",圣路易斯,圣路易斯华盛顿大学 ,"7,649（含Part-time）*(3)",32
美国,www.wisc.edu,威斯康辛州,"29,580*(4)",麦迪逊,威斯康辛大学麦迪逊分校 ,"13,809*(4)",30
英国,www.ed.ac.uk,苏格兰,"全日制18, 650；非全日制290*(3)",爱丁堡,爱丁堡大学 ,"全日制6,485；非全日制935*(3)",29
美国,www.ucsb.edu,加利福尼亚州,"20,607*(3)",圣塔芭芭拉,加州大学圣塔芭芭拉分校 ,"2,890*(3)",28
美国,www.nyu.edu,纽约州,"24,985*(3)",纽约市,纽约大学 ,"24,289*(3)",27
美国,www.cornell.edu,纽约州,"14,315*(3)",伊萨卡,康奈尔大学 ,"7,589*(3)",23
英国,www.ucl.ac.uk,英格兰,"全日制14,625；非全日制785*(2)",伦敦,伦敦大学学院 ,"全日制9,750；非全日制3,260*(2)",22
美国,www.upenn.edu,宾夕法尼亚州,"9,726*(3)",费城,宾夕法尼亚大学 ,"11,669*(3)",19
英国,www.imperial.ac.uk,英格兰,"全日制8,885；非全日制0*(2)",伦敦,帝国理工学院 ,"全日制5,895；非全日制1,445*(2)",17
美国,西部学校及学院协会（WASC）,加利福尼亚州,"33,735",拉霍亚,加州大学圣地亚哥分校 ,"26,590 *(5)",16
3,中北部学院及学校协会（NCACS）,美国,"12,962",伊利诺伊州,芝加哥大学 ,"5,844*(3)",14
美国,www.ucla.edu,加利福尼亚州,"29,585*(3)",洛杉矶,加州大学洛杉矶分校 ,"13,716*(3)",13
美国,www.yale.edu,康涅狄格州,"5,532*(6)",纽黑文,耶鲁大学 ,"6,853*(6)",12
美国,www.princeton.edu,新泽西州,"5,402*(3)",普林斯顿,普林斯顿大学 ,"2,736*(3)",9
英国,www.cam.ac.uk,英格兰,"全日制11,865；非全日制290*(3)",剑桥,剑桥大学 ,"全日制6,485；非全日制935*(3)",7
英国,www.ox.ac.uk,英格兰,"全日制11,380；非全日制5,275*(3)",牛津,牛津大学 ,"全日制7,515；非全日制1,735*(3)",5
美国,www.stanford.edu,加利福尼亚州,"6,999*(3)",斯坦福,斯坦福大学 ,"9,771*(3)",3
美国,www.mit.edu,马萨诸塞州,"4,527*(7)",剑桥,麻省理工学院 ,"6,804*(7)",2
website,name,country,rank,postgraduate_num,undergraduate_num,state,city
www.harvard.edu,哈佛大学 ,美国,1,"≈14,500*(3)","≈6,700*(3)",马萨诸塞州,剑桥（马萨诸塞州）
www.ox.ac.uk,牛津大学 ,英国,5,"全日制7,515；非全日制1,735*(3)","全日制11,380；非全日制5,275*(3)",英格兰,牛津
www.berkeley.edu,加州大学伯克利分校 ,美国,4,"10,708*(5)","27,496 *(5)",加利福尼亚州,伯克利
www.stanford.edu,斯坦福大学 ,美国,3,"9,771*(3)","6,999*(3)",加利福尼亚州,斯坦福
www.mit.edu,麻省理工学院 ,美国,2,"6,804*(7)","4,527*(7)",马萨诸塞州,剑桥
state,city,country,website,rank,undergraduate_num,name,postgraduate_num
马萨诸塞州,剑桥（马萨诸塞州）,美国,www.harvard.edu,1,"≈6,700*(3)",哈佛大学 ,"≈14,500*(3)"
英格兰,牛津,英国,www.ox.ac.uk,5,"全日制11,380；非全日制5,275*(3)",牛津大学 ,"全日制7,515；非全日制1,735*(3)"
加利福尼亚州,伯克利,美国,www.berkeley.edu,4,"27,496 *(5)",加州大学伯克利分校 ,"10,708*(5)"
加利福尼亚州,斯坦福,美国,www.stanford.edu,3,"6,999*(3)",斯坦福大学 ,"9,771*(3)"
马萨诸塞州,剑桥,美国,www.mit.edu,2,"4,527*(7)",麻省理工学院 ,"6,804*(7)"
undergraduate_num,country,name,city,state,website,postgraduate_num,rank
"≈6,700*(3)",美国,哈佛大学 ,剑桥（马萨诸塞州）,马萨诸塞州,www.harvard.edu,"≈14,500*(3)",1
"全日制11,380；非全日制5,275*(3)",英国,牛津大学 ,牛津,英格兰,www.ox.ac.uk,"全日制7,515；非全日制1,735*(3)",5
"27,496 *(5)",美国,加州大学伯克利分校 ,伯克利,加利福尼亚州,www.berkeley.edu,"10,708*(5)",4
"6,999*(3)",美国,斯坦福大学 ,斯坦福,加利福尼亚州,www.stanford.edu,"9,771*(3)",3
"4,527*(7)",美国,麻省理工学院 ,剑桥,马萨诸塞州,www.mit.edu,"6,804*(7)",2
state,rank,postgraduate_num,undergraduate_num,name,city,website,country
马萨诸塞州,1,"≈14,500*(3)","≈6,700*(3)",哈佛大学 ,剑桥（马萨诸塞州）,www.harvard.edu,美国
英格兰,5,"全日制7,515；非全日制1,735*(3)","全日制11,380；非全日制5,275*(3)",牛津大学 ,牛津,www.ox.ac.uk,英国
加利福尼亚州,4,"10,708*(5)","27,496 *(5)",加州大学伯克利分校 ,伯克利,www.berkeley.edu,美国
加利福尼亚州,3,"9,771*(3)","6,999*(3)",斯坦福大学 ,斯坦福,www.stanford.edu,美国
